id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21207483,Chiky Home,153203771,Ma. Del Consuelo,,Miguel Hidalgo,19.44216,-99.20477,Private room,444,3,19,2021-05-10,0.39,1,69,1,
21212741,Habitación privada con baño,152757893,Tanselin,,Miguel Hidalgo,19.44331,-99.18488,Private room,400,1,40,2021-09-12,0.81,4,351,8,
21213519,Acogedor y nuevo departamento completo,128286735,Rosario,,Coyoacán,19.34968,-99.1491,Entire home/apt,649,1,3,2021-10-18,0.26,6,354,3,
21213842,Centro de  Coyoacán a 10 minutos del departamento,128286735,Rosario,,Coyoacán,19.35027,-99.14964,Entire home/apt,649,1,4,2021-01-19,0.58,6,342,4,
21214143,Recámara en la Col Del Valle,111180491,Paola,,Benito Juárez,19.3754,-99.16105,Private room,255,30,7,2018-06-04,0.15,1,363,0,
21215280,"Big Room in Narvarte, close to everything you need",30012796,Javier,,Benito Juárez,19.39712,-99.15299,Private room,450,1,3,2018-05-09,0.07,2,23,0,
21215372,Mexican room close to dowtown Coyoacán,54112142,Analí,,Coyoacán,19.34316,-99.15731,Private room,450,3,15,2017-12-05,0.31,1,90,0,
21218251,Habitación privada hermoso Pent house Copérnico,46980099,Lilia,,Miguel Hidalgo,19.43011,-99.17872,Private room,868,3,15,2021-09-26,0.32,2,172,3,
21227112,Dazzling private room at Penthouse near El Ángel,153376872,Fernando,,Cuauhtémoc,19.42918,-99.17117,Private room,500,1,86,2019-03-09,1.76,1,23,0,
21230011,"Perfect & Cozy
Enjoy amazing views at La Roma",3977177,Gabriela,,Cuauhtémoc,19.42051,-99.16692,Entire home/apt,1386,3,136,2021-10-06,2.82,2,126,28,
21233401,El departamentito,127075055,Apud,,Tlalpan,19.29502,-99.17961,Private room,270,15,93,2019-04-07,1.89,2,304,2,
21233660,Loft en colonia Juarez,153456014,Fredd,,Cuauhtémoc,19.42535,-99.16013,Entire home/apt,1514,2,8,2019-11-03,0.17,1,169,0,
21241888,Room near Tasqueña Terminal,141506095,Letus,,Coyoacán,19.33477,-99.13287,Private room,300,2,16,2019-08-21,0.34,1,362,0,
21244108,Vintage Room,150475311,Liza Gabriela,,Benito Juárez,19.38198,-99.15665,Private room,2412,8,0,,,1,90,0,
21253627,Happy place 2,5322428,Karina & Armando,,Cuauhtémoc,19.44131,-99.15668,Private room,384,2,12,2018-07-20,0.27,2,170,0,
21253866,"Super Loft  Lujo en Pte
Max comfort y seguridad",143315513,Sergio & Angélica,,Álvaro Obregón,19.33813,-99.23631,Private room,501,1,22,2019-11-30,0.45,3,299,0,
21262078,Loft excelente ubicación en la Colonia Roma,153755590,Eduardo,,Cuauhtémoc,19.4193,-99.16725,Entire home/apt,1112,2,32,2021-09-14,0.67,1,48,8,
21265688,Welcome/Bienvenidos A Casa Cava,153810182,Juan Carlos,,Benito Juárez,19.389,-99.17865,Private room,450,2,14,2018-07-08,0.29,1,90,0,
21265818,Departamento en Polanco,153812157,Rocio,,Miguel Hidalgo,19.43194,-99.18132,Entire home/apt,1200,2,12,2017-11-20,0.25,1,353,1,
21266125,Beautiful and brand new Suites! (S2),30026600,Eduardo,,Miguel Hidalgo,19.43723,-99.18212,Entire home/apt,980,3,1,2019-11-24,0.04,14,337,0,
21266616,Depa Valle,153420829,Claudia,,Benito Juárez,19.39721,-99.16408,Entire home/apt,650,2,17,2020-03-31,0.40,1,309,1,
21266838,Penthouse - Polanco Area,153825406,Carlos,,Miguel Hidalgo,19.44095,-99.19895,Entire home/apt,1314,1,267,2021-06-19,5.43,6,353,68,
21275333,Habitaciones comodas,153664560,Angelica,,Gustavo A. Madero,19.47002,-99.06953,Private room,400,7,0,,,1,365,0,
21276778,Nuevo Penthouse céntrico PC&MG,121136500,Monica,,Benito Juárez,19.38811,-99.18488,Private room,2000,1,0,,,1,90,0,
21277109,Art Deco Home w/prívate Terrace,128013741,Paulo,,Cuauhtémoc,19.41535,-99.16792,Entire home/apt,2367,2,66,2021-07-31,1.41,1,142,7,
21281161,3 Condos for Twelve People Group @ Condesa,4448934,John,,Cuauhtémoc,19.41271,-99.18034,Entire home/apt,4038,4,10,2020-02-17,0.22,33,307,0,
21282992,Charming 2bedroom with balcony & top WiFi,13242037,Malosa Homes,,Cuauhtémoc,19.41504,-99.16658,Entire home/apt,1600,25,49,2021-07-23,1.00,1,314,8,
21294848,Departamento en Toreo,154092168,Jose Angel,,Miguel Hidalgo,19.45657,-99.21365,Entire home/apt,800,7,0,,,1,240,0,
21296363,Reforma lifestyle,154107336,Jovanny,,Cuauhtémoc,19.42939,-99.16247,Entire home/apt,3000,2,13,2019-01-03,0.29,1,353,0,
21298726,“Galería del Escultor” “Sculptor’s Gallery”.,19927450,Luz,,Coyoacán,19.35401,-99.14947,Entire home/apt,679,1,136,2021-10-09,3.47,6,350,20,
21298797,Recámara confortable independiente c/b,154128088,Julieta,,Cuauhtémoc,19.41326,-99.15808,Private room,230,7,14,2020-03-03,0.29,1,23,0,
21306756,Exclusivo loft Santa Fe,152987404,Karla,,Cuajimalpa de Morelos,19.352243,-99.286247,Entire home/apt,700,1,0,,,1,362,0,
21308302,Tu Hogar cerca de Santa Fe I,109053125,Vicente,,Álvaro Obregón,19.348,-99.2332,Private room,707,1,0,,,2,268,0,
21309753,Precious Apartament in Front of American Embassy,5755202,Andres,,Cuauhtémoc,19.42881,-99.16338,Entire home/apt,4037,2,1,2020-03-13,0.05,41,354,0,
21309961,Executive Suite Awesome Amenities,5755202,Andres,,Miguel Hidalgo,19.44003,-99.18435,Entire home/apt,12514,1,0,,,41,354,0,
21309995,Santa Fe. Depto/flat/1cuarto(room)/1baño(bath,53580549,Hector,,Álvaro Obregón,19.37049,-99.26462,Entire home/apt,899,1,39,2018-01-01,0.80,2,362,2,
21314149,Depto céntrico CD MX,15072544,Luis,,Venustiano Carranza,19.41116,-99.12539,Shared room,270,1,1,2018-02-18,0.02,1,87,0,
21324599,Bonito Departamento al sur de la Ciudad de México.,153968855,Marlen,,Benito Juárez,19.36485,-99.18064,Entire home/apt,1450,2,100,2020-08-22,2.05,2,283,6,
21325484,Sismic-Proof 2 Level PH 3BR,35406862,Thor,,Cuauhtémoc,19.41208,-99.16237,Private room,5047,30,1,2017-11-14,0.02,19,173,0,
21327198,Great location! Col. Del Valle private room!,154119775,Martha Adriana,,Benito Juárez,19.37171,-99.16674,Private room,505,2,7,2020-02-29,0.17,2,364,0,
21328029,All Amenities 2 bedroom 2 bathroom Core of Polanco,5755202,Andres,,Miguel Hidalgo,19.43867,-99.20047,Entire home/apt,5248,10,0,,,41,90,0,
21333918,Casa Rebollar 4 personas San Miguel  Chapultepec,26303769,Mauricio,,Miguel Hidalgo,19.41034,-99.18896,Entire home/apt,1150,1,69,2021-05-16,1.49,2,209,29,
21343984,"Río Alto, Departamento independiente",154484160,Abigail & CésarE,,Álvaro Obregón,19.34549,-99.22537,Entire home/apt,330,2,9,2019-08-18,0.32,3,329,0,
